 
 =================================================
      AMS 260 - CFD, 1D Euler FVM Code            
       Written by Prof. Dongwook Lee              
            Winter Quarter, 2015                  
 =================================================
 
 
        Initial condition was written!            
 =================================================
    Steps      Time              dt               
 =================================================
 
     1      0.00200000       0.00200000
     2      0.00400000       0.00200000
     3      0.00600000       0.00200000
     4      0.00800000       0.00200000
     5      0.01000000       0.00200000
     6      0.01200000       0.00200000
     7      0.01400000       0.00200000
     8      0.01600000       0.00200000
     9      0.01800000       0.00200000
    10      0.02000000       0.00200000
    11      0.02200000       0.00200000
    12      0.02400000       0.00200000
    13      0.02600000       0.00200000
    14      0.02800000       0.00200000
    15      0.03000000       0.00200000
    16      0.03200000       0.00200000
    17      0.03400000       0.00200000
    18      0.03600000       0.00200000
    19      0.03800000       0.00200000
    20      0.04000000       0.00200000
    21      0.04200000       0.00200000
    22      0.04400000       0.00200000
    23      0.04600000       0.00200000
    24      0.04800000       0.00200000
    25      0.05000000       0.00200000
    26      0.05200000       0.00200000
    27      0.05400000       0.00200000
    28      0.05600000       0.00200000
    29      0.05800000       0.00200000
    30      0.06000000       0.00200000
    31      0.06200000       0.00200000
    32      0.06400000       0.00200000
    33      0.06600000       0.00200000
    34      0.06800000       0.00200000
    35      0.07000000       0.00200000
    36      0.07200000       0.00200000
    37      0.07400000       0.00200000
    38      0.07600000       0.00200000
    39      0.07800000       0.00200000
    40      0.08000000       0.00200000
    41      0.08200000       0.00200000
    42      0.08400000       0.00200000
    43      0.08600000       0.00200000
    44      0.08800000       0.00200000
    45      0.09000000       0.00200000
    46      0.09200000       0.00200000
    47      0.09400000       0.00200000
    48      0.09600000       0.00200000
    49      0.09800000       0.00200000
    50      0.10000000       0.00200000
    51      0.10200000       0.00200000
    52      0.10400000       0.00200000
    53      0.10600000       0.00200000
    54      0.10800000       0.00200000
    55      0.11000000       0.00200000
    56      0.11200000       0.00200000
    57      0.11400000       0.00200000
    58      0.11600000       0.00200000
    59      0.11800000       0.00200000
    60      0.12000000       0.00200000
    61      0.12200000       0.00200000
    62      0.12400000       0.00200000
    63      0.12600000       0.00200000
    64      0.12800000       0.00200000
    65      0.13000000       0.00200000
    66      0.13200000       0.00200000
    67      0.13400000       0.00200000
    68      0.13600000       0.00200000
    69      0.13800000       0.00200000
    70      0.14000000       0.00200000
    71      0.14200000       0.00200000
    72      0.14400000       0.00200000
    73      0.14600000       0.00200000
    74      0.14800000       0.00200000
    75      0.15000000       0.00200000
    76      0.15200000       0.00200000
    77      0.15400000       0.00200000
    78      0.15600000       0.00200000
    79      0.15800000       0.00200000
    80      0.16000000       0.00200000
    81      0.16200000       0.00200000
    82      0.16400000       0.00200000
    83      0.16600000       0.00200000
    84      0.16800000       0.00200000
    85      0.17000000       0.00200000
    86      0.17200000       0.00200000
    87      0.17400000       0.00200000
    88      0.17600000       0.00200000
    89      0.17800000       0.00200000
    90      0.18000000       0.00200000
    91      0.18200000       0.00200000
    92      0.18400000       0.00200000
    93      0.18600000       0.00200000
    94      0.18800000       0.00200000
    95      0.19000000       0.00200000
    96      0.19200000       0.00200000
    97      0.19400000       0.00200000
    98      0.19600000       0.00200000
    99      0.19800000       0.00200000
