 
 =================================================
      AMS 260 - CFD, 1D Euler FVM Code            
       Written by Prof. Dongwook Lee              
            Winter Quarter, 2015                  
 =================================================
 
 
        Initial condition was written!            
 =================================================
    Steps      Time              dt               
 =================================================
 
     1      0.00615963       0.00615963
     2      0.01231639       0.00615675
     3      0.01824005       0.00592366
     4      0.02422849       0.00598845
     5      0.03015206       0.00592357
     6      0.03611904       0.00596698
     7      0.04208477       0.00596573
     8      0.04804151       0.00595673
     9      0.05400189       0.00596038
    10      0.05997048       0.00596859
    11      0.06595152       0.00598104
    12      0.07194283       0.00599131
    13      0.07792412       0.00598129
    14      0.08391615       0.00599203
    15      0.08991929       0.00600314
    16      0.09593033       0.00601104
    17      0.10193544       0.00600511
    18      0.10793955       0.00600412
    19      0.11394217       0.00600262
    20      0.11994273       0.00600056
    21      0.12594320       0.00600046
    22      0.13194668       0.00600349
    23      0.13795555       0.00600887
    24      0.14397091       0.00601536
    25      0.14998837       0.00601746
    26      0.15600219       0.00601382
    27      0.16201374       0.00601156
    28      0.16802513       0.00601138
    29      0.17403820       0.00601307
    30      0.18005493       0.00601673
    31      0.18607639       0.00602146
    32      0.19209254       0.00601615
    33      0.19810489       0.00601236
    34      0.20411587       0.00601098
    35      0.21012821       0.00601234
    36      0.21614465       0.00601644
    37      0.22216557       0.00602092
    38      0.22818079       0.00601522
    39      0.23419204       0.00601125
    40      0.24020104       0.00600900
    41      0.24620955       0.00600851
    42      0.25222004       0.00601049
    43      0.25823592       0.00601588
    44      0.26425798       0.00602206
    45      0.27027441       0.00601643
    46      0.27628681       0.00601240
    47      0.28229705       0.00601024
    48      0.28830699       0.00600993
    49      0.29431971       0.00601273
    50      0.30033782       0.00601811
    51      0.30636024       0.00602241
    52      0.31237690       0.00601666
    53      0.31838998       0.00601308
    54      0.32440125       0.00601127
    55      0.33041257       0.00601132
    56      0.33640266       0.00599009
    57      0.34237304       0.00597038
    58      0.34832166       0.00594862
    59      0.35427476       0.00595310
    60      0.36020489       0.00593012
    61      0.36612894       0.00592405
    62      0.37199804       0.00586910
    63      0.37789148       0.00589345
    64      0.38374928       0.00585779
    65      0.38963147       0.00588219
    66      0.39548343       0.00585197
    67      0.40135220       0.00586877
    68      0.40720740       0.00585520
    69      0.41306749       0.00586009
    70      0.41893051       0.00586301
    71      0.42478712       0.00585661
    72      0.43064294       0.00585583
    73      0.43653702       0.00589407
    74      0.44242304       0.00588602
    75      0.44833051       0.00590747
    76      0.45423993       0.00590942
    77      0.46014270       0.00590278
    78      0.46604344       0.00590074
    79      0.47199478       0.00595133
    80      0.47793392       0.00593914
    81      0.48388794       0.00595402
    82      0.48983908       0.00595114
    83      0.49578805       0.00594896
    84      0.50173823       0.00595019
    85      0.50768902       0.00595079
    86      0.51363891       0.00594989
    87      0.51959092       0.00595201
    88      0.52554761       0.00595669
    89      0.53151054       0.00596293
    90      0.53747612       0.00596558
    91      0.54344623       0.00597012
    92      0.54942213       0.00597590
    93      0.55540317       0.00598103
    94      0.56138943       0.00598627
    95      0.56738100       0.00599157
    96      0.57337717       0.00599617
    97      0.57937846       0.00600130
    98      0.58538495       0.00600649
    99      0.59139641       0.00601146
