 
 =================================================
      AMS 260 - CFD, 1D Euler FVM Code            
       Written by Prof. Dongwook Lee              
            Winter Quarter, 2015                  
 =================================================
 
 
        Initial condition was written!            
 =================================================
    Steps      Time              dt               
 =================================================
 
     1      0.00197108       0.00197108
     2      0.00394203       0.00197095
     3      0.00583969       0.00189766
     4      0.00774016       0.00190046
     5      0.00963129       0.00189114
     6      0.01153798       0.00190668
     7      0.01341273       0.00187476
     8      0.01530606       0.00189333
     9      0.01721399       0.00190793
    10      0.01911819       0.00190421
    11      0.02101379       0.00189559
    12      0.02289478       0.00188099
    13      0.02477915       0.00188437
    14      0.02664517       0.00186602
    15      0.02851926       0.00187409
    16      0.03039460       0.00187534
    17      0.03226070       0.00186610
    18      0.03413669       0.00187599
    19      0.03601783       0.00188114
    20      0.03790687       0.00188903
    21      0.03978422       0.00187736
    22      0.04165596       0.00187174
    23      0.04352035       0.00186439
    24      0.04539629       0.00187594
    25      0.04727541       0.00187912
    26      0.04915371       0.00187830
    27      0.05103073       0.00187702
    28      0.05291338       0.00188265
    29      0.05479537       0.00188199
    30      0.05667831       0.00188294
    31      0.05856623       0.00188792
    32      0.06045276       0.00188653
    33      0.06234415       0.00189139
    34      0.06424025       0.00189610
    35      0.06613920       0.00189894
    36      0.06804037       0.00190117
    37      0.06992406       0.00188369
    38      0.07181011       0.00188606
    39      0.07369788       0.00188777
    40      0.07558936       0.00189147
    41      0.07748993       0.00190057
    42      0.07939756       0.00190763
    43      0.08130335       0.00190579
    44      0.08320827       0.00190492
    45      0.08511933       0.00191106
    46      0.08703218       0.00191285
    47      0.08894695       0.00191477
    48      0.09086270       0.00191575
    49      0.09277447       0.00191177
    50      0.09468744       0.00191297
    51      0.09660054       0.00191310
    52      0.09851434       0.00191380
    53      0.10043405       0.00191971
    54      0.10235430       0.00192025
    55      0.10427663       0.00192233
    56      0.10619850       0.00192187
    57      0.10812320       0.00192469
    58      0.11004565       0.00192245
    59      0.11197024       0.00192459
    60      0.11389245       0.00192221
    61      0.11581532       0.00192287
    62      0.11773444       0.00191912
    63      0.11965335       0.00191891
    64      0.12157255       0.00191919
    65      0.12348953       0.00191699
    66      0.12541126       0.00192173
    67      0.12733174       0.00192048
    68      0.12925464       0.00192290
    69      0.13117936       0.00192472
    70      0.13310423       0.00192487
    71      0.13502946       0.00192523
    72      0.13695526       0.00192580
    73      0.13888120       0.00192594
    74      0.14080670       0.00192550
    75      0.14273195       0.00192525
    76      0.14465713       0.00192517
    77      0.14658240       0.00192527
    78      0.14850797       0.00192556
    79      0.15043402       0.00192605
    80      0.15236033       0.00192631
    81      0.15428622       0.00192589
    82      0.15621186       0.00192564
    83      0.15813742       0.00192556
    84      0.16006305       0.00192564
    85      0.16198893       0.00192588
    86      0.16391523       0.00192630
    87      0.16584205       0.00192682
    88      0.16776852       0.00192647
    89      0.16969473       0.00192621
    90      0.17162083       0.00192610
    91      0.17354697       0.00192614
    92      0.17547332       0.00192634
    93      0.17740002       0.00192670
    94      0.17932710       0.00192708
    95      0.18125394       0.00192684
    96      0.18318061       0.00192667
    97      0.18510720       0.00192659
    98      0.18703383       0.00192663
    99      0.18896064       0.00192681
