 
 =================================================
      AMS 260 - CFD, 1D Euler FVM Code            
       Written by Prof. Dongwook Lee              
            Winter Quarter, 2015                  
 =================================================
 
 
        Initial condition was written!            
 =================================================
    Steps      Time              dt               
 =================================================
 
     1      0.00165697       0.00165697
     2      0.00331384       0.00165687
     3      0.00497071       0.00165687
     4      0.00662768       0.00165697
     5      0.00828455       0.00165687
     6      0.00994141       0.00165687
     7      0.01159838       0.00165697
     8      0.01325525       0.00165687
     9      0.01491212       0.00165687
    10      0.01656908       0.00165697
    11      0.01822595       0.00165687
    12      0.01988282       0.00165686
    13      0.02153978       0.00165696
    14      0.02319665       0.00165687
    15      0.02485352       0.00165686
    16      0.02651048       0.00165696
    17      0.02816735       0.00165687
    18      0.02982421       0.00165686
    19      0.03148117       0.00165696
    20      0.03313805       0.00165687
    21      0.03479491       0.00165686
    22      0.03645186       0.00165696
    23      0.03810874       0.00165688
    24      0.03976560       0.00165686
    25      0.04142255       0.00165695
    26      0.04307943       0.00165688
    27      0.04473629       0.00165686
    28      0.04639324       0.00165695
    29      0.04805012       0.00165688
    30      0.04970698       0.00165686
    31      0.05136392       0.00165695
    32      0.05302080       0.00165688
    33      0.05467766       0.00165686
    34      0.05633461       0.00165695
    35      0.05799149       0.00165688
    36      0.05964835       0.00165686
    37      0.06130529       0.00165694
    38      0.06296217       0.00165688
    39      0.06461903       0.00165686
    40      0.06627597       0.00165694
    41      0.06793285       0.00165688
    42      0.06958971       0.00165686
    43      0.07124665       0.00165694
    44      0.07290353       0.00165688
    45      0.07456039       0.00165686
    46      0.07621733       0.00165694
    47      0.07787421       0.00165689
    48      0.07953107       0.00165686
    49      0.08118800       0.00165693
    50      0.08284489       0.00165689
    51      0.08450175       0.00165686
    52      0.08615868       0.00165693
    53      0.08781557       0.00165689
    54      0.08947242       0.00165686
    55      0.09112935       0.00165693
    56      0.09278624       0.00165689
    57      0.09444310       0.00165686
    58      0.09610002       0.00165693
    59      0.09775692       0.00165689
    60      0.09941377       0.00165686
    61      0.10107070       0.00165692
    62      0.10272759       0.00165689
    63      0.10438444       0.00165686
    64      0.10604137       0.00165692
    65      0.10769826       0.00165690
    66      0.10935512       0.00165686
    67      0.11101204       0.00165692
    68      0.11266893       0.00165690
    69      0.11432579       0.00165685
    70      0.11598271       0.00165692
    71      0.11763960       0.00165690
    72      0.11929646       0.00165685
    73      0.12095338       0.00165692
    74      0.12261028       0.00165690
    75      0.12426713       0.00165685
    76      0.12592404       0.00165691
    77      0.12758095       0.00165690
    78      0.12923780       0.00165685
    79      0.13089471       0.00165691
    80      0.13255162       0.00165690
    81      0.13420847       0.00165685
    82      0.13586538       0.00165691
    83      0.13752229       0.00165691
    84      0.13917914       0.00165685
    85      0.14083605       0.00165691
    86      0.14249296       0.00165691
    87      0.14414981       0.00165685
    88      0.14580672       0.00165691
    89      0.14746363       0.00165691
    90      0.14912048       0.00165685
    91      0.15077739       0.00165690
    92      0.15243430       0.00165691
    93      0.15409115       0.00165685
    94      0.15574805       0.00165690
    95      0.15740497       0.00165691
    96      0.15906182       0.00165685
    97      0.16071872       0.00165690
    98      0.16237564       0.00165692
    99      0.16403249       0.00165685
